Date,Open,High,Low,Close,Adj Close,Volume
2018-01-29,3.730000,3.840000,3.690000,3.740000,3.740000,768500
2018-01-30,3.700000,3.730000,3.620000,3.650000,3.650000,652500
2018-01-31,3.690000,3.710000,3.580000,3.610000,3.610000,850800
2018-02-01,3.590000,3.650000,3.560000,3.600000,3.600000,936200
2018-02-02,3.570000,3.860000,3.560000,3.740000,3.740000,1941000
2018-02-05,3.720000,3.820000,3.580000,3.640000,3.640000,1850700
2018-02-06,3.550000,3.770000,3.520000,3.730000,3.730000,1233600
2018-02-07,3.740000,3.790000,3.660000,3.760000,3.760000,493900
2018-02-08,3.780000,3.800000,3.650000,3.710000,3.710000,1066300
2018-02-09,3.740000,3.800000,3.580000,3.650000,3.650000,1295300
2018-02-12,3.640000,3.890000,3.620000,3.790000,3.790000,1488400
2018-02-13,3.780000,3.790000,3.680000,3.760000,3.760000,652900
2018-02-14,3.700000,3.910000,3.700000,3.840000,3.840000,785200
2018-02-15,3.860000,4.230000,3.830000,4.210000,4.210000,1818300
2018-02-16,4.160000,4.370000,4.030000,4.350000,4.350000,2245500
2018-02-20,4.340000,4.850000,4.310000,4.700000,4.700000,4167000
2018-02-21,4.710000,5.040000,4.520000,4.800000,4.800000,3365800
2018-02-22,4.840000,5.000000,4.770000,4.850000,4.850000,1517500
2018-02-23,4.840000,5.080000,4.800000,5.060000,5.060000,2034900
2018-02-26,5.060000,5.250000,5.040000,5.190000,5.190000,1805800
2018-02-27,5.200000,5.370000,5.200000,5.280000,5.280000,1617900
2018-02-28,5.280000,5.600000,5.220000,5.390000,5.390000,2608400
2018-03-01,5.380000,5.530000,5.260000,5.440000,5.440000,1773300
2018-03-02,5.430000,5.760000,5.390000,5.650000,5.650000,1983900
2018-03-05,5.670000,6.000000,5.630000,5.990000,5.990000,2253400
2018-03-06,6.050000,6.190000,5.420000,5.810000,5.810000,2677200
2018-03-07,5.760000,6.090000,5.760000,6.040000,6.040000,1615900
2018-03-08,6.090000,6.140000,5.850000,5.870000,5.870000,2124100
2018-03-09,5.870000,5.920000,5.680000,5.750000,5.750000,2057100
2018-03-12,5.790000,5.870000,5.660000,5.670000,5.670000,1909700
2018-03-13,5.720000,5.960000,5.720000,5.760000,5.760000,2222600
2018-03-14,5.700000,5.880000,5.620000,5.720000,5.720000,1541500
2018-03-15,5.240000,5.600000,5.100000,5.530000,5.530000,3064000
2018-03-16,5.550000,6.020000,5.480000,5.840000,5.840000,4547700
2018-03-19,5.770000,5.830000,5.620000,5.750000,5.750000,1397000
2018-03-20,5.760000,5.890000,5.610000,5.630000,5.630000,1182400
2018-03-21,5.600000,5.650000,5.250000,5.340000,5.340000,2201100
2018-03-22,5.270000,5.340000,5.100000,5.190000,5.190000,1285200
2018-03-23,5.180000,5.240000,4.990000,5.020000,5.020000,1568500
2018-03-26,5.150000,5.170000,4.830000,4.990000,4.990000,2032400
2018-03-27,4.980000,5.110000,4.800000,4.820000,4.820000,1435100
2018-03-28,4.840000,4.880000,4.630000,4.720000,4.720000,1420100
2018-03-29,4.750000,4.790000,4.670000,4.710000,4.710000,1066800
2018-04-02,4.710000,4.750000,4.540000,4.560000,4.560000,1256600
2018-04-03,4.610000,4.640000,4.480000,4.560000,4.560000,1571100
2018-04-04,4.530000,4.610000,4.420000,4.610000,4.610000,1589300
2018-04-05,4.640000,4.680000,4.460000,4.490000,4.490000,938400
2018-04-06,4.440000,4.520000,4.410000,4.460000,4.460000,1038600
2018-04-09,4.500000,4.590000,4.220000,4.280000,4.280000,1169200
2018-04-10,4.310000,4.560000,4.270000,4.500000,4.500000,900000
2018-04-11,4.460000,4.640000,4.440000,4.610000,4.610000,926100
2018-04-12,4.670000,4.700000,4.530000,4.550000,4.550000,613900
2018-04-13,4.600000,4.670000,4.510000,4.650000,4.650000,671700
2018-04-16,4.730000,4.800000,4.050000,4.110000,4.110000,2722000
2018-04-17,4.140000,4.250000,3.980000,4.090000,4.090000,1649400
2018-04-18,4.080000,4.130000,3.940000,3.950000,3.950000,1263800
2018-04-19,3.920000,4.010000,3.630000,3.760000,3.760000,2859900
2018-04-20,3.750000,3.810000,3.640000,3.780000,3.780000,1497100
2018-04-23,3.750000,3.820000,3.550000,3.580000,3.580000,1811300
